"Barcode";"Name";"Volume";"Count"
"7801610036716";"Tai Lima Limón pet 2,0 lts *6";"2000";"5"
"90415326";"RED BULL LIME EDIT LATA 250X24";"250";"3"
"7801620006785";"7UP LIGHT 6PF-PET 3000";"3000";"1"
"7501013118018";"Jumex Nectar Pera";"335";"169"
"7801620007744";"Mas gasificada limon Naranja";"1600";"359"
"613008719548";"Arizona Peach Iced Green tea with real juice";"680";"12"
"7801610203507";"NORDIC GINGER ALE MIST";"350";"264"
"613008725853";"Arizona half Iced Green tea half mango";"680";"44"
"7801610235003";"Inca Kola pet 500 cc x 6";"500";"38"
"5701598031579";"CERVEZA BEAR";"330";"334"
"7801610106006";"Coca Cola pet 1,25 lts *6 term.";"1250";"4"
"70847021964";"Monster Ultra Lata 473 cc X6";"473";"700"
"7790895000430";"Coca-Cola 1.5L BT PET C N 4X1";"1500";"5"
"7801620006778";"LIPTON DURAZNO 0%AZ 6PF-PET1.5";"1500";"59"
"7801620001704";"KEM XTREME 6PFX4-LATA 350";"350";"154"
"4052197002455";"Benediktine Hell";"500";"7"
"7801620005740";"TONICA LIGHT 6PFX4-LATA310";"310";"77"
"7801620151133";"GINGER ALE LIGHT 6PF-PET 3000";"3000";"1"
"7750236173896";"Inca Kola";"500";"16"
"7801610230558";"Inca Kola  Zero PT 500 cc x 6";"500";"10"
"7801622119070";"Eden Agua Sin Gas";"500";"64"
"7804626700251";"Soy Late Pura Solidaridad";"1500";"11"
"7801620075897";"PORVENIR C/GAS 12PF-PET 500";"500";"16"
"7790895640483";"Aquarius Monresa Manzana 1.5L PET 1X6";"1500";"2"
"7802820701012";"Power Ade Rojo";"600";"184"
"7801620855161";"7UP LIGHT 6PF-PET 2000";"2000";"297"
"7801620016982";"MAS CATUN NARANJ 6PF-PET1.5";"1500";"1"
"7804167000940";"Lider Agua Purificada Gasificada";"1500";"209"
"7801610106402";"Sprite";"1100";"258"
"7802100500250";"Dorada Cerveza";"350";"890"
"7802800544684";"Livean Nectar 0 azucar Pina";"1500";"361"
"180182";"Budweiser";"473";"1766"
"7801620006990";"MAS CACHANTÚN MANZANA 6PF-PET 2250-TR";"2250";"133"
"7802100002747";"Royal Guard Premium Lager Beer";"470";"1564"
"7802175454885";"Mistral Ice";"310";"276"
"7801620853211";"CRUSH ZERO 12PF-PET 500";"500";"291"
"7801610034712";"Tai Naranja pet 2,0 lts *6";"2000";"33"
"7802820442120";"Benedictino con un toque limon";"1500";"732"
"7801620852597";"AGUA TONICA 6PFX4-LATA 350";"350";"95"
"7801620007171";"A TONICA LIGHT 6PF-PET 1500-TR";"1500";"231"
"7801620007522";"Watts Nectar Durazno";"1750";"386"
"793573241962";"ENERGIZANTE SCORE";"500";"207"
"7802820442137";"Benedictino con un toque Frutilla";"1500";"786"
"7802408000391";"Fruna Frucola";"500";"80"
"7501013100990";"Jumex Nectar Coco Piña";"500";"31"
"7802100001115";"Cristal Cero";"350";"2273"
"7802800544677";"Livean Pera";"1500";"111"
"7804646000027";"ENERGIZANTE MR. BIG ZERO";"1500";"28"
"4770477227595";"Kalnapilis Pinta Lager Beer";"568";"24"
"7804167001763";"Lider Cero Azucar Manzana";"1500";"16"
"4770477228110";"Kalnapilis Pinta Pilsner Lager Beer";"568";"19"
"4770477227571";"Kalnapilis White Select Beer";"568";"32"
"7801620007256";"Watts Nectar Durazno";"1750";"630"
"7802100504647";"Cristal Cero";"269";"49"
"7801610005521";"SPRITE";"2500";"7"
"7801620005733";"Gatorade Manzana";"600";"79"
"7801620006112";"KEM XTR SUGAR FREE 6PF-PET1.5";"1500";"154"
"5999886049263";"Aloe Vera Drink Pinapple";"500";"2"
